,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
17,18.442129453023274,0.1580772390505388,1.1890792846679688,0.021400971479478906,1800,10,2,sqrt,90,False,"{'n_estimators': 1800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 90, 'bootstrap': False}",-12.538422629474406,-12.685433776876932,-12.558603068812022,-12.594153158387789,0.06506881494123742,21
70,18.355052789052326,0.06041518593021263,1.22110120455424,0.03320073958167786,1800,10,2,sqrt,50,False,"{'n_estimators': 1800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': False}",-12.538422629474406,-12.685433776876932,-12.558603068812022,-12.594153158387789,0.06506881494123742,21
23,15.262808243433634,0.09439666117092732,0.986405611038208,0.012299187384946729,1200,5,1,sqrt,40,False,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': False}",-12.520357820514493,-12.724768290340007,-12.541768837583101,-12.5956316494792,0.09173080879249475,23
67,6.249347607294719,0.08660169288405492,0.12928326924641928,0.003937769377272105,200,2,4,auto,,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'bootstrap': True}",-12.497342003215042,-12.722939216093362,-12.582879564481285,-12.601053594596564,0.09299192489167998,24
29,6.153158505757649,0.019237833160211864,0.12646381060282388,0.0027484208352951804,200,2,4,auto,90,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': True}",-12.497342003215042,-12.722939216093362,-12.582879564481285,-12.601053594596564,0.09299192489167998,24
51,53.757747173309326,0.36202082509872535,1.0411588350931804,0.011401770024550261,1800,10,4,auto,90,True,"{'n_estimators': 1800, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': True}",-12.523473084925577,-12.726737839544995,-12.58102608975571,-12.610412338075427,0.08554454516158687,26
53,11.97550654411316,0.06980829483697489,0.23531548182169595,0.013022512597071165,400,10,4,auto,60,True,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 60, 'bootstrap': True}",-12.516062201451632,-12.740432220821186,-12.582123517903957,-12.612872646725592,0.09414389019099274,27
62,6.087522586186727,0.09685846532540274,0.12456719080607097,0.011501592401416906,200,10,4,auto,80,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 80, 'bootstrap': True}",-12.519304470934285,-12.746124574970747,-12.591608685447458,-12.619012577117497,0.09460468578167852,28
68,44.35673054059347,0.17663063727932532,0.8751502831776937,0.016183134382142993,1200,5,1,auto,70,True,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",-12.512438879124177,-12.715937893815253,-12.638659554895879,-12.622345442611769,0.08387520467843308,29
93,14.649498701095581,0.1187953496498362,0.2861921787261963,0.001122188967269239,400,5,1,auto,80,True,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 80, 'bootstrap': True}",-12.529623261778585,-12.739882791578337,-12.633588375317963,-12.634364809558294,0.08583984935331727,30
99,17.784411668777466,2.137567429031644,1.2778319517771404,0.17612391117513843,2000,5,1,sqrt,80,True,"{'n_estimators': 2000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 80, 'bootstrap': True}",-12.599324555006088,-12.75466895217487,-12.588772521300601,-12.647588676160519,0.07583963557978726,31
13,17.503609975179035,0.23601172885519625,1.322914679845174,0.05600700308390672,1800,5,1,sqrt,,True,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",-12.599752552319556,-12.758665864675894,-12.589472031352654,-12.649296816116035,0.07744939795334917,32
97,7.654389142990112,0.08180793055905619,0.595725933710734,0.005556102483018327,800,5,1,sqrt,50,True,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",-12.60638441576021,-12.772998471449537,-12.578679389266576,-12.65268742549211,0.08582133750911912,33
59,12.793144385019938,0.05388653021558243,0.9419532616933187,0.018822986887514843,1400,2,2,sqrt,20,True,"{'n_estimators': 1400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",-12.623757763584477,-12.739572927564039,-12.622493267933628,-12.661941319694046,0.054896263641361444,34
45,10.832105795542398,0.06409514179599989,0.790677547454834,0.0014604367379578427,1200,2,2,sqrt,30,True,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",-12.62578314995268,-12.74555524489019,-12.617478540510222,-12.662938978451031,0.05851681948954243,35
61,8.008752266565958,0.06563572353664278,0.5047263304392496,0.028109753533777548,800,5,4,sqrt,40,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': False}",-12.641686949240402,-12.745090711261977,-12.641482008857695,-12.676086556453358,0.04879337752727649,36
57,20.073633273442585,0.09504854646712668,1.2377081712086995,0.008041172805399122,2000,5,4,sqrt,50,False,"{'n_estimators': 2000, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': False}",-12.640717631460543,-12.752135075199996,-12.649013866753316,-12.680622191137951,0.050680544065494756,37
56,17.839735825856526,0.10946657145971823,1.1210300922393799,0.02231817139024002,1800,5,4,sqrt,110,False,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 110, 'bootstrap': False}",-12.640473833982162,-12.753611221906644,-12.6479737422904,-12.680686266059736,0.051656551989159805,38
80,11.913286765416464,0.05486973258579586,0.732982317606608,0.021875443328347788,1200,5,4,sqrt,30,False,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",-12.648171358495548,-12.749386088643789,-12.64757308453182,-12.681710177223719,0.04785471918795335,39
